symbol,zip,sector,fullTimeEmployees,longBusinessSummary,city,phone,state,country,companyOfficers,website,maxAge,address1,industry,ebitdaMargins,profitMargins,grossMargins,operatingCashflow,revenueGrowth,operatingMargins,ebitda,targetLowPrice,recommendationKey,grossProfits,freeCashflow,targetMedianPrice,currentPrice,earningsGrowth,currentRatio,returnOnAssets,numberOfAnalystOpinions,targetMeanPrice,debtToEquity,returnOnEquity,targetHighPrice,totalCash,totalDebt,totalRevenue,totalCashPerShare,financialCurrency,revenuePerShare,quickRatio,recommendationMean,exchange,shortName,longName,exchangeTimezoneName,exchangeTimezoneShortName,isEsgPopulated,gmtOffSetMilliseconds,underlyingSymbol,quoteType,underlyingExchangeSymbol,headSymbol,messageBoardId,uuid,market,annualHoldingsTurnover,enterpriseToRevenue,beta3Year,enterpriseToEbitda,52WeekChange,morningStarRiskRating,forwardEps,revenueQuarterlyGrowth,sharesOutstanding,fundInceptionDate,annualReportExpenseRatio,totalAssets,bookValue,sharesShort,sharesPercentSharesOut,fundFamily,lastFiscalYearEnd,heldPercentInstitutions,netIncomeToCommon,trailingEps,lastDividendValue,SandP52WeekChange,priceToBook,heldPercentInsiders,nextFiscalYearEnd,yield,mostRecentQuarter,shortRatio,sharesShortPreviousMonthDate,floatShares,beta,enterpriseValue,priceHint,threeYearAverageReturn,lastSplitDate,lastSplitFactor,legalType,morningStarOverallRating,earningsQuarterlyGrowth,priceToSalesTrailing12Months,dateShortInterest,pegRatio,ytdReturn,forwardPE,lastCapGain,shortPercentOfFloat,sharesShortPriorMonth,category,fiveYearAverageReturn,previousClose,regularMarketOpen,twoHundredDayAverage,trailingAnnualDividendYield,payoutRatio,volume24Hr,regularMarketDayHigh,navPrice,averageDailyVolume10Day,regularMarketPreviousClose,fiftyDayAverage,trailingAnnualDividendRate,open,averageVolume10days,expireDate,algorithm,dividendRate,exDividendDate,circulatingSupply,startDate,regularMarketDayLow,currency,trailingPE,regularMarketVolume,lastMarket,maxSupply,openInterest,marketCap,volumeAllCurrencies,strikePrice,averageVolume,dayLow,ask,askSize,volume,fiftyTwoWeekHigh,fromCurrency,fiveYearAvgDividendYield,fiftyTwoWeekLow,bid,tradeable,dividendYield,bidSize,dayHigh,regularMarketPrice,logo_url,address2,fax
GOOG,94043,Communication Services,144056,"Alphabet Inc. provides online advertising services in the United States, Europe, the Middle East, Africa, the Asia-Pacific, Canada, and Latin America. The company offers performance and brand advertising services. It operates through Google Services, Google Cloud, and Other Bets segments. The Google Services segment provides products and services, such as ads, Android, Chrome, hardware, Google Maps, Google Play, Search, and YouTube, as well as technical infrastructure; and digital content. The Google Cloud segment offers infrastructure and data analytics platforms, collaboration tools, and other services for enterprise customers. The Other Bets segment sells internet and TV services, as well as licensing and research and development services. The company was founded in 1998 and is headquartered in Mountain View, California.",Mountain View,650-253-0000,CA,United States,[],http://www.abc.xyz,1,1600 Amphitheatre Parkway,Internet Content & Information,0.34300998,0.2857,0.55723,80858996736,0.616,0.28448,75552997376,2700,buy,97795000000,44609626112,3100,2801.12,1.691,3.152,0.12759,9,3103.33,11.829,0.2829,3400,135863001088,28100999168,220265005056,203.768,USD,326.656,3.027,1.6,NMS,Alphabet Inc.,Alphabet Inc.,America/New_York,EDT,False,-14400000,,EQUITY,,,finmb_29096,ee8cce8c-2475-31c0-8436-ecdf889cbfbd,us_market,,7.871,,22.948,,,95.21,,323580000,,,,342.743,2454068,0.0037,,1609372800,0.68341005,62928998400,75.04,,,8.172654,0.00042,1672444800,,1625011200,2.25,1625011200,580510157,0.998924,1733768380416,2,,1430092800,10000000:10000000,,,1.662,8.360466,1627603200,1.17,,29.42044,,,2471249,,,2783.71,2798.12,2556.8936,,0,,2806.15,,1259114,2783.71,2827.396,,2798.12,1259114,,,,,,,2789.3606,USD,37.328358,946421,,,,1841518084096,,,1065637,2789.3606,2801.12,900,946421,2936.41,,,1514.62,2800.1,False,,800,2806.15,2801.12,https://logo.clearbit.com/abc.xyz,,
GOOGL,94043,Communication Services,144056,"Alphabet Inc. provides online advertising services in the United States, Europe, the Middle East, Africa, the Asia-Pacific, Canada, and Latin America. The company offers performance and brand advertising services. It operates through Google Services, Google Cloud, and Other Bets segments. The Google Services segment provides products and services, such as ads, Android, Chrome, hardware, Google Maps, Google Play, Search, and YouTube, as well as technical infrastructure; and digital content. The Google Cloud segment offers infrastructure and data analytics platforms, collaboration tools, and other services for enterprise customers. The Other Bets segment sells internet and TV services, as well as licensing and research and development services. The company was founded in 1998 and is headquartered in Mountain View, California.",Mountain View,650-253-0000,CA,United States,[],http://www.abc.xyz,1,1600 Amphitheatre Parkway,Internet Content & Information,0.34300998,0.2857,0.55723,80858996736,0.616,0.28448,75552997376,1850,buy,97795000000,44609626112,3158,2795.71,1.691,3.152,0.12759,42,3141.61,11.829,0.2829,4288.52,135863001088,28100999168,220265005056,203.768,USD,326.656,3.027,1.7,NMS,Alphabet Inc.,Alphabet Inc.,America/New_York,EDT,True,-14400000,,EQUITY,,,finmb_29096,e15ce71f-f533-3912-9f11-a46c09e2412b,us_market,,7.793,,22.72,,,95.09,,300747008,,,,342.743,2933691,0.0044,,1609372800,0.8043,62928998400,75.04,,,8.156869,0.00147,1672444800,,1625011200,2.03,1625011200,580510157,0.998924,1716572782592,2,,1396483200,1998:1000,,,1.662,8.590463,1627603200,1.16,,29.400673,,0.0098,2762096,,,2784.5,2791.54,2518.2612,,0,,2806.6206,,1663857,2784.5,2815.0947,,2791.54,1663857,,,,,,,2784.35,USD,37.256264,1326292,,,,1892178329600,,,1344617,2784.35,2798,1100,1326292,2925.08,,,1508.48,2790,False,,1000,2806.6206,2795.71,https://logo.clearbit.com/abc.xyz,,
AMZN,98109-5210,Consumer Cyclical,1335000,"Amazon.com, Inc. engages in the retail sale of consumer products and subscriptions in North America and internationally. The company operates through three segments: North America, International, and Amazon Web Services (AWS). It sells merchandise and content purchased for resale from third-party sellers through physical and online stores. The company also manufactures and sells electronic devices, including Kindle, Fire tablets, Fire TVs, Rings, and Echo and other devices; provides Kindle Direct Publishing, an online service that allows independent authors and publishers to make their books available in the Kindle Store; and develops and produces media content. In addition, it offers programs that enable sellers to sell their products on its websites, as well as its stores; and programs that allow authors, musicians, filmmakers, skill and app developers, and others to publish and sell content. Further, the company provides compute, storage, database, analytics, machine learning, and other services, as well as fulfillment, advertising, publishing, and digital content subscriptions. Additionally, it offers Amazon Prime, a membership program, which provides free shipping of various items; access to streaming of movies and TV episodes; and other services. The company serves consumers, sellers, developers, enterprises, and content creators. Amazon.com, Inc. was founded in 1994 and is headquartered in Seattle, Washington.",Seattle,206-266-1000,WA,United States,[],http://www.amazon.com,1,410 Terry Avenue North,Internet Retail,0.13382,0.06641,0.40679002,59322998784,0.272,0.06685,59320999936,3775,buy,152757000000,16914750464,4100,3288.62,0.468,1.196,0.05988,51,4142.65,107.355,0.31229,5000,89894002688,123247001600,443297988608,177.502,USD,881.308,0.989,1.7,NMS,"Amazon.com, Inc.","Amazon.com, Inc.",America/New_York,EDT,True,-14400000,,EQUITY,,,finmb_18749,261fd26b-0151-3813-b0d0-97e4ed4c6505,us_market,,3.802,,28.411,,,72.27,,504324000,,,,205,5330390,0.0105,,1609372800,0.59739,29437999104,52.562,,,16.04205,0.13606,1672444800,,1625011200,1.84,1628812800,454348048,1.159259,1685367029760,2,,936230400,2:1,,,0.484,3.7413435,1631664000,1.81,,45.50464,,0.012200001,5094455,,,3302.43,3317,3368.0542,,0,,3321.43,,2915414,3302.43,3380.787,,3317,2915414,,,,,,,3288.2,USD,62.566494,1998217,,,,1658530037760,,,3131492,3288.2,3289.5,1000,1998217,3773.08,,,2881,3288.5,False,,800,3321.43,3288.62,https://logo.clearbit.com/amazon.com,,
AAPL,95014,Technology,147000,"Apple Inc. designs, manufactures, and markets smartphones, personal computers, tablets, wearables, and accessories worldwide. It also sells various related services. The company offers iPhone, a line of smartphones; Mac, a line of personal computers; iPad, a line of multi-purpose tablets; and wearables, home, and accessories comprising AirPods, Apple TV, Apple Watch, Beats products, HomePod, iPod touch, and other Apple-branded and third-party accessories. It also provides AppleCare support services; cloud services store services; and operates various platforms, including the App Store, that allow customers to discover and download applications and digital content, such as books, music, video, games, and podcasts. In addition, the company offers various services, such as Apple Arcade, a game subscription service; Apple Music, which offers users a curated listening experience with on-demand radio stations; Apple News+, a subscription news and magazine service; Apple TV+, which offers exclusive original content; Apple Card, a co-branded credit card; and Apple Pay, a cashless payment service, as well as licenses its intellectual property. The company serves consumers, and small and mid-sized businesses; and the education, enterprise, and government markets. It sells and delivers third-party applications for its products through the App Store. The company also sells its products through its retail and online stores, and direct sales force; and third-party cellular network carriers, wholesalers, retailers, and resellers. Apple Inc. was founded in 1977 and is headquartered in Cupertino, California.",Cupertino,408-996-1010,CA,United States,[],http://www.apple.com,1,One Apple Park Way,Consumer Electronics,0.31955,0.25004,0.41005,104414003200,0.364,0.28788,110934999040,132,buy,104956000000,80625876992,169.28,142.9,1,1.062,0.19302,43,167.13,210.782,1.27125,190,61696000000,135491002368,347155005440,3.732,USD,20.61,0.887,1.9,NMS,Apple Inc.,Apple Inc.,America/New_York,EDT,True,-14400000,,EQUITY,,,finmb_24937,8b10e4ae-9eeb-3684-921a-9ab27e4d87aa,us_market,,7.171,,22.441,,,5.35,,16687599616,,,,4.146,96355309,0.0058,,1601078400,0.59054,86801997824,4.449,,,34.466957,0.00068999996,1664150400,,1624665600,1.14,1623715200,16513139929,1.202797,2489513410560,2,,1598832000,4:1,,,0.932,6.8691444,1626307200,1.4,,26.71028,,0.0058,108937943,,,143.29,144.03,137.85274,0.0057226606,0.16309999,,144.17,,80918485,143.29,147.47942,0.82,144.03,80918485,,,0.88,1628208000,,,142.56,USD,32.119576,58773155,,,,2384657907712,,,79762242,142.56,142.84,2200,58773155,157.26,,1.29,107.32,142.8,False,0.006,1100,144.17,142.9,https://logo.clearbit.com/apple.com,,
MSFT,98052-6399,Technology,181000,"Microsoft Corporation develops, licenses, and supports software, services, devices, and solutions worldwide. Its Productivity and Business Processes segment offers Office, Exchange, SharePoint, Microsoft Teams, Office 365 Security and Compliance, and Skype for Business, as well as related Client Access Licenses (CAL); Skype, Outlook.com, OneDrive, and LinkedIn; and Dynamics 365, a set of cloud-based and on-premises business solutions for organizations and enterprise divisions. Its Intelligent Cloud segment licenses SQL, Windows Servers, Visual Studio, System Center, and related CALs; GitHub that provides a collaboration platform and code hosting service for developers; and Azure, a cloud platform. It also offers support services and Microsoft consulting services to assist customers in developing, deploying, and managing Microsoft server and desktop solutions; and training and certification on Microsoft products. Its More Personal Computing segment provides Windows original equipment manufacturer (OEM) licensing and other non-volume licensing of the Windows operating system; Windows Commercial, such as volume licensing of the Windows operating system, Windows cloud services, and other Windows commercial offerings; patent licensing; Windows Internet of Things; and MSN advertising. It also offers Surface, PC accessories, PCs, tablets, gaming and entertainment consoles, and other devices; Gaming, including Xbox hardware, and Xbox content and services; video games and third-party video game royalties; and Search, including Bing and Microsoft advertising. It sells its products through OEMs, distributors, and resellers; and directly through digital marketplaces, online stores, and retail stores. It has collaborations with Dynatrace, Inc., Morgan Stanley, Micro Focus, WPP plc, ACI Worldwide, Inc., and iCIMS, Inc., as well as a strategic relationship with Avaya Holdings Corp. Microsoft Corporation was founded in 1975 and is headquartered in Redmond, Washington.",Redmond,425 882 8080,WA,United States,[],http://www.microsoft.com,1,One Microsoft Way,Software—Infrastructure,0.48080003,0.36451998,0.68926,76740001792,0.213,0.41595,80815996928,275,buy,115856000000,41337249792,330,294.85,0.486,2.08,0.13761,33,329.18,57.947,0.47079,411,130256003072,82277998592,168087994368,17.333,USD,22.272,1.898,1.6,NMS,Microsoft Corporation,Microsoft Corporation,America/New_York,EDT,True,-14400000,,EQUITY,,,finmb_21835,b004b3ec-de24-385e-b2c1-923f10d3fb62,us_market,,12.935,,26.904,,,8.36,,7531570176,,,,17.853,45696881,0.0061000003,,1625011200,0.71723,61270999040,7.338,,,16.51543,0.00078,1688083200,,1625011200,2.28,1627603200,7506925463,0.77893,2174250516480,2,,1045526400,2:1,,,0.469,13.211434,1630368000,2.24,,35.269142,,0.0061000003,47983963,,,294.85,296.219,271.83618,0.0074275057,0.272,,296.6409,,26409885,294.85,296.8147,2.19,296.219,26409885,,,2.24,1629244800,,,293.77,USD,40.18125,16697017,,,,2220683427840,,,23012685,293.77,294.65,900,16697017,305.84,,1.51,199.62,294.34,False,0.0076,800,296.6409,294.85,https://logo.clearbit.com/microsoft.com,,
COST,98027,Consumer Defensive,,"Costco Wholesale Corporation, together with its subsidiaries, engages in the operation of membership warehouses in the United States, Puerto Rico, Canada, the United Kingdom, Mexico, Japan, Korea, Australia, Spain, France, Iceland, China, and Taiwan. It offers branded and private-label products in a range of merchandise categories. The company provides dry and packaged foods, and groceries; snack foods, candies, alcoholic and nonalcoholic beverages, and cleaning supplies; appliances, electronics, health and beauty aids, hardware, and garden and patio products; meat, bakery, and deli products, as well as produce; and apparel and small appliances. It also operates pharmacies, optical dispensing centers, food courts, and hearing-aid centers, as well as 615 gas stations; and offers business delivery, travel, same-day grocery, and various other services online in various countries. As of October 07, 2020, the company operated 796 warehouses, including 552 in the United States and Puerto Rico, 102 in Canada, 39 in Mexico, 29 in the United Kingdom, 27 in Japan, 16 in South Korea, 13 in Taiwan, 12 in Australia, 3 in Spain, 1 in Iceland, 1 in France, and 1 in China. It also operates e-commerce websites in the United States, Canada, the United Kingdom, Mexico, South Korea, Taiwan, Japan, and Australia. The company was formerly known as Costco Companies, Inc. and changed its name to Costco Wholesale Corporation in August 1999. Costco Wholesale Corporation was founded in 1976 and is based in Issaquah, Washington.",Issaquah,425 313 8100,WA,United States,[],http://www.costco.com,1,999 Lake Drive,Discount Stores,0.04255,0.02555,0.12885,,0.174,0.03424,8337332736,249,buy,25245000000,,460,451.85,0.201,1.002,0.073020004,29,445.65,56.051,0.27616,525,12174999552,10133000192,195928997888,27.556,USD,442.189,0.475,2.2,NMS,Costco Wholesale Corporation,Costco Wholesale Corporation,America/New_York,EDT,True,-14400000,,EQUITY,,,finmb_92817,ab9e914f-db40-3f4b-8924-8140f0082aa4,us_market,,1.011,,23.759,,,10.99,,442534016,,,,35.359,5248620,0.0119,,1630195200,0.69317,5007000064,9.779,,,12.778925,0.00217,1693267200,,1630195200,3.36,1628812800,440574635,0.649563,198084116480,2,,947808000,2:1,,,0.202,1.0205687,1631664000,3.98,,41.11465,,0.0119,4819174,,,452.87,455.44,408.20892,0.00618279,0.2644,,455.71,,1801871,452.87,455.32382,2.8,455.44,1801871,,,3.16,1627516800,,,450,USD,46.206154,1545827,,,,199959003136,,,1732075,450,453,800,1545827,470.49,,0.94,307,451.25,False,0.0069999998,1100,455.71,451.85,https://logo.clearbit.com/costco.com,,
WFC,94104,Financial Services,259196,"Wells Fargo & Company (NYSE: WFC) is a leading financial services company that has approximately $1.9 trillion in assets and proudly serves one in three U.S. households and more than 10% of all middle market companies in the U.S. We provide a diversified set of banking, investment and mortgage products and services, as well as consumer and commercial finance, through our four reportable operating segments: Consumer Banking and Lending, Commercial Banking, Corporate and Investment Banking, and Wealth and Investment Management. Wells Fargo ranked No. 30 on Fortune's 2020 rankings of America's largest corporations. In the communities we serve, the company focuses its social impact on building a sustainable, inclusive future for all by supporting housing affordability, small business growth, financial health and a low-carbon economy.",San Francisco,866 249 3302,CA,United States,[],http://www.wellsfargo.com,1,420 Montgomery Street,Banks—Diversified,0,0.22117001,0,-42872999936,1.447,0.26841,,30,buy,58319000000,,50,48,,,0.00922,25,50.35,,0.09672,65,476165013504,244546994176,76442001408,115.957,USD,18.501,,2.2,NYQ,Wells Fargo & Company,Wells Fargo & Company,America/New_York,EDT,True,-14400000,,EQUITY,,,finmb_292891,0bc07f6d-ca07-3490-b750-d6d47f2b33a9,us_market,,-0.239,,,,,3.57,,4141120000,,,,40.309,47384692,0.0115,,1609372800,0.72698,15564999680,1.456,,,1.1908011,0.00096000003,1672444800,,1625011200,1.97,1627603200,4099922384,1.358624,-18285012992,2,,1155513600,2:1,,,,2.6003213,1630368000,0.09,,13.445378,,0.0116,47956822,,,47.76,47.87,45.288273,0.0169598,0.1067,,48.34,,19213385,47.76,46.630882,0.81,47.87,19213385,,,0.8,1628121600,,,47.655,USD,32.967033,14228868,,,,198773768192,,,26856243,47.655,47.99,3000,14228868,51.41,,3.57,20.76,47.97,False,0.0172,2200,48.34,48,https://logo.clearbit.com/wellsfargo.com,,
ABBV,60064-6400,Healthcare,48000,"AbbVie Inc. discovers, develops, manufactures, and sells pharmaceuticals in the worldwide. The company offers HUMIRA, a therapy administered as an injection for autoimmune and intestinal BehÃ§et's diseases; SKYRIZI to treat moderate to severe plaque psoriasis in adults; RINVOQ, a JAK inhibitor for the treatment of moderate to severe active rheumatoid arthritis in adult patients; IMBRUVICA to treat adult patients with chronic lymphocytic leukemia (CLL), small lymphocytic lymphoma (SLL), mantle cell lymphoma, waldenstrÃ¶m's macroglobulinemia, marginal zone lymphoma, and chronic graft versus host disease; VENCLEXTA, a BCL-2 inhibitor used to treat adults with CLL or SLL; and MAVYRET to treat patients with chronic HCV genotype 1-6 infection. It also provides CREON, a pancreatic enzyme therapy for exocrine pancreatic insufficiency; Synthroid used in the treatment of hypothyroidism; AndroGel for males diagnosed with symptomatic low testosterone; Linzess/Constella to treat irritable bowel syndrome with constipation and chronic idiopathic constipation; Lupron for the palliative treatment of advanced prostate cancer, endometriosis and central precocious puberty, and patients with anemia caused by uterine fibroids; and Botox therapeutic. In addition, the company offers ORILISSA, a nonpeptide small molecule gonadotropin-releasing hormone antagonist for women with moderate to severe endometriosis pain; Duopa and Duodopa, a levodopa-carbidopa intestinal gel to treat Parkinson's disease; Lumigan/Ganfort, a bimatoprost ophthalmic solution for the reduction of elevated intraocular pressure (IOP) in patients with open angle glaucoma (OAG) or ocular hypertension; Ubrelvy to treat migraine with or without aura in adults; Alphagan/ Combigan, an alpha-adrenergic receptor agonist for the reduction of IOP in patients with OAG; and Restasis, a calcineurin inhibitor immunosuppressant to increase tear production. The company was incorporated in 2012 and is based in North Chicago, Illinois.",North Chicago,847 932 7900,IL,United States,[],http://www.abbvie.com,1,1 North Waukegan Road,Drug Manufacturers—General,0.51499003,0.12401,0.68121004,20451000320,0.339,0.35173,27669999616,105,buy,31747000000,18179999744,127.5,111.18,,0.906,0.0794,22,125.96,652.342,0.48855,144,8600000512,82156003328,53729001472,4.867,USD,30.364,0.645,2,NYQ,AbbVie Inc.,AbbVie Inc.,America/New_York,EDT,True,-14400000,,EQUITY,,,finmb_141885706,73238d42-cdcc-3f92-8141-dd675addae10,us_market,,5.134,,9.969,,,13.92,,1766220032,,,,7.765,14655916,0.0083,,1609372800,0.6899,6597000192,2.913,,,14.318094,0.00125,1672444800,,1625011200,2.49,1623715200,1741728204,0.789133,275834241024,2,,,,,,,3.6547925,1626307200,1.9,,7.987069,,0.0083,13342625,,,110.87,111.05,112.96144,0.04473708,1.3405,,111.75,,7427914,110.87,110.95353,4.96,111.05,7427914,,,5.2,1626220800,,,110.64,USD,38.166836,4511454,,,,196368351232,,,7201400,110.64,111.46,800,4511454,121.53,,4.22,79.11,111,False,0.0454,800,111.75,111.18,https://logo.clearbit.com/abbvie.com,,
T,75202,Communication Services,226840,"AT&T Inc. provides telecommunication, media, and technology services worldwide. The company operates through Communications, WarnerMedia, and Latin America segments. The Communications segment offers wireless voice and data communications services; video and targeted advertising services; broadband, including fiber, and legacy telephony internet and voice communication; and wireline telecom services. It also sells handsets, wirelessly enabled computers, wireless data cards, and IP-based set-top boxes, as well as various accessories, such as carrying cases and hands-free devices through the company-owned stores, agents, and third-party retail stores. This segment markets its communications services and products under the AT&T, Cricket, AT&T PREPAIDSM, AT&T TV, AT&T Fiber, and DIRECTV brand names. The WarnerMedia segment primarily produces, distributes, and licenses television programming and feature films; distributes home entertainment products in physical and digital formats; and produces and distributes mobile and console games, and consumer products, as well as offers brand licensing services, and advertising services. It also operates cable networks; video on demand streaming platform under the HBO Max and HBO GO names; multichannel pay television services under the HBO and Cinemax; and digital media properties, as well as licenses its content to television networks and over-the-top services. The Latin America segment offers video entertainment and audio programming services under the DIRECTV and SKY brands primarily to residential customers; pay-TV services, including HD sports video content; and postpaid and prepaid wireless services under the AT&T and Unefon brands, as well as sells various handsets through company-owned stores, agents, and third-party retail stores. The company was formerly known as SBC Communications Inc. and changed its name to AT&T Inc. in November 2005. AT&T Inc. was incorporated in 1983 and is headquartered in Dallas, Texas.",Dallas,210-821-4105,TX,United States,[],http://www.att.com,1,208 South Akard Street,Telecom Services,0.29995,-0.0110599995,0.51745,43042000896,0.076,0.17442,52795998208,23,hold,91840000000,32764999680,32,26.77,0.227,0.766,0.03512,25,31.25,113.358,-0.0028400002,37,11920000000,203869995008,176014999552,1.669,USD,24.595,0.389,2.9,NYQ,AT&T Inc.,AT&T Inc.,America/New_York,EDT,True,-14400000,,EQUITY,,,finmb_100231,b9ece18c-950a-3bfa-ab0f-dbfa4ff731d3,us_market,,2.291,,7.637,,,3.12,,7139999744,,,,23.178,108450881,0.0152,,1609372800,0.53696996,-2161999872,-0.345,,,1.1549746,0.00097000005,1672444800,,1625011200,3.61,1626307200,7130361000,0.749327,403208208384,2,,890352000,2:1,,,0.226,1.0859176,1628812800,3.05,,8.580129,,0.0152,104557700,,,27.09,27.06,28.937698,0.076781094,,,27.119,,42180528,27.09,27.301176,2.08,27.06,42180528,,,2.08,1625702400,,,26.75,USD,,37108494,,,,191137792000,,,32725970,26.75,26.79,39400,37108494,33.88,,6.02,26.35,26.78,False,0.0767,40000,27.119,26.77,https://logo.clearbit.com/att.com,,
V,94128,Financial Services,20500,"Visa Inc. operates as a payments technology company worldwide. The company facilitates digital payments among consumers, merchants, financial institutions, businesses, strategic partners, and government entities. It operates VisaNet, a transaction processing network that enables authorization, clearing, and settlement of payment transactions. In addition, the company offers card products, platforms, and value-added services. It provides its services under the Visa, Visa Electron, Interlink, VPAY, and PLUS brands. The company was founded in 1958 and is headquartered in San Francisco, California.",San Francisco,650 432 3200,CA,United States,[],http://usa.visa.com,1,PO Box 8999,Credit Services,0.68292,0.47971,0.96781,13351999488,0.267,0.64768,15466000384,202,buy,21119000000,10018374656,280.1,230.27,0.1,2,0.1142,40,278.05,55.56,0.29637,309,19239999488,20995999744,22646999040,9.048,USD,10.623,1.623,1.8,NYQ,Visa Inc.,Visa Inc.,America/New_York,EDT,True,-14400000,,EQUITY,,,finmb_38043467,5206560a-306a-3e08-9a43-7fd258eb57ce,us_market,,21.23,,31.088,,,7.05,,1691810048,,,,16.084,25104183,0.0117999995,,1601424000,0.96686,10565000192,4.838,,,14.316712,0.00126,1664496000,,1625011200,3.72,1627603200,1685687816,0.97762,480805126144,2,,1426723200,4:1,,,0.085,22.372908,1630368000,1.95,,32.66241,,0.0149,27079994,,,230.55,231,230.53676,0.005465192,0.2545,,232.7335,,6695514,230.55,227.16147,1.26,231,6695514,,,1.28,1628726400,,,230.19,USD,47.596115,3735169,,,,506679197696,,,7617173,230.19,230.3,900,3735169,252.67,,0.61,179.23,230.01,False,0.0057,800,232.7335,230.27,https://logo.clearbit.com/usa.visa.com,,
